"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","NP_001007697","Diseased-Healthy",-0.833664750218745,0.158775121171135,-5.25060062350815,28,1.39822179570093e-05,4.19466538710278e-05,NA,0,0
"2","NP_001008724","Diseased-Healthy",0.253626226867563,0.137432947696096,1.84545431877373,28,0.0755716247648808,0.0884740972857141,NA,0.00170068027210879,0
"3","NP_001010968","Diseased-Healthy",-0.236458243651144,0.137705005941972,-1.71713614936255,28,0.0969979327435126,0.1108547802783,NA,0.201587301587302,0
"4","NP_001011908","Diseased-Healthy",-0.580538040980547,0.207193883993494,-2.80190722713985,28,0.00911317018620061,0.0132555202708373,NA,0.0610766045548654,0
"5","NP_001012027","Diseased-Healthy",0.426409126378149,0.156733986444702,2.72059134110387,28,0.0110730157291989,0.0151858501429014,NA,0,0
"6","NP_001013967","Diseased-Healthy",-0.384144617999474,0.181218285730558,-2.11978949282543,28,0.0430208599579378,0.0543421388942372,NA,0,0
"7","NP_001033064","Diseased-Healthy",-0.94949297737395,0.295638343336141,-3.21167060625277,28,0.00330597607186833,0.00528956171498933,NA,0,0
"8","NP_001101333","Diseased-Healthy",-0.587778264391624,0.157480489209537,-3.73238784907221,28,0.000857015997552946,0.00167043558792242,NA,0,0
"9","NP_001121161","Diseased-Healthy",-0.239847705812387,0.17833590698747,-1.34492099692094,28,0.189444105760539,0.206666297193316,NA,0.0462962962962963,0
"10","NP_036620","Diseased-Healthy",1.16391083835018,0.114580086136985,10.1580551873445,28,6.8006711373414e-11,1.08810738197462e-09,NA,0.00132275132275128,0
"11","NP_036629","Diseased-Healthy",0.492927082974568,0.229251446297986,2.15015909794458,25,0.0414075117287434,0.0537178530535049,NA,0.170634920634921,0
"12","NP_036664","Diseased-Healthy",1.3668555776147,0.16968470863116,8.05526666864129,28,9.01890739868350e-09,6.18439364481154e-08,NA,0.00931677018633537,0
"13","NP_036691","Diseased-Healthy",0.555482349212337,0.0648487342306569,8.56581636946949,28,2.60972399246384e-09,2.08777919397107e-08,NA,0,0
"14","NP_036714","Diseased-Healthy",-5.2437402455539,0.281296218937581,-18.6413463549521,28,0,0,NA,0,0
"15","NP_036745","Diseased-Healthy",1.10852745961444,0.282132190037677,3.92910663425683,28,0.000508016794270594,0.00113735086968412,NA,0.0119047619047619,0
"16","NP_036774","Diseased-Healthy",-1.13696237456189,0.415810553223124,-2.73432784653686,28,0.0107163520864999,0.0151289676515293,NA,0,0
"17","NP_036789","Diseased-Healthy",-1.35904018743876,0.366087454925045,-3.7123375006582,28,0.00090363240145086,0.00167043558792242,NA,0.042016806722689,0
"18","NP_036828","Diseased-Healthy",3.65782259708203,0.551431413192567,6.63332285678958,28,3.38922789167029e-07,1.47893580727431e-06,NA,0,0
"19","NP_036869","Diseased-Healthy",-0.848668848241136,0.181276609579206,-4.68162357080228,28,6.62116141858515e-05,0.000186950440054169,NA,0,0
"20","NP_036870","Diseased-Healthy",1.18284564993758,0.199774806129083,5.92089499600513,31,1.53712586015153e-06,5.67554163748259e-06,NA,0.29421768707483,0
"21","NP_037001","Diseased-Healthy",0.163098209146644,0.127097082422062,1.28325690911637,28,0.20992203839606,0.219049083543715,NA,0.181818181818182,0
"22","NP_037030","Diseased-Healthy",-0.549330237674131,0.122073745657864,-4.4999867474677,28,0.000108659417924928,0.000289758447799808,NA,0,0
"23","NP_037244","Diseased-Healthy",-0.120518389407108,0.133038938217416,-0.90588808826897,28,0.372724868327994,0.380655184675398,NA,0.323412698412698,0
"24","NP_058690","Diseased-Healthy",0.651168706392268,0.11698204052999,5.56639893988966,28,5.91370784475131e-06,1.89238651032042e-05,NA,0,0
"25","NP_058716","Diseased-Healthy",-1.92553490412441,0.267124184696078,-7.20838851156513,28,7.59474083622536e-08,3.64547560138817e-07,NA,0.0734126984126984,0
"26","NP_062016","Diseased-Healthy",0.588447871969798,0.176210388524831,3.33946186088158,28,0.0023866860672328,0.00395037693886809,NA,0,0
"27","NP_062212","Diseased-Healthy",-0.693847372615434,0.120175449026051,-5.7736199717883,28,3.37101998160172e-06,1.1557782794063e-05,NA,0.0150375939849624,0
"28","NP_062242","Diseased-Healthy",1.82830967542452,0.251036156520505,7.28305316957474,28,6.27164620237153e-08,3.34487797459815e-07,NA,0,0
"29","NP_075213","Diseased-Healthy",0.730314970969216,0.0920672145871057,7.93241083967255,28,1.22166681215674e-08,7.33000087294045e-08,NA,0.0140056022408963,0
"30","NP_113692","Diseased-Healthy",0.862011130418593,0.219931339097962,3.91945565354211,28,0.000521285815271888,0.00113735086968412,NA,0,0
"31","NP_150641","Diseased-Healthy",-2.56854139987277,0.265771477277195,-9.66447350252648,28,2.03340455584566e-10,2.4400854670148e-09,NA,0.00915750915750912,0
"32","NP_444180","Diseased-Healthy",0.456213728892464,0.103178226877824,4.42160853793969,27,0.000143966542102802,0.000363704948470238,NA,0.138888888888889,0
"33","NP_445770","Diseased-Healthy",1.42889758514885,0.384956644207736,3.71184029850845,28,0.000904819276791313,0.00167043558792242,NA,0,0
"34","NP_446290","Diseased-Healthy",0.0148337617206252,0.147571546893099,0.100519117898593,28,0.920648515560535,0.920648515560535,NA,0.00230414746543783,0
"35","NP_476487","Diseased-Healthy",1.41004323330474,0.104909847799442,13.4405231051364,28,9.81437153768638e-14,2.35544916904473e-12,NA,0.00198412698412698,0
"36","NP_602308","Diseased-Healthy",0.172244712191984,0.131228898111809,1.31255169151256,27,0.200382541201972,0.213741377282103,NA,0.347619047619048,0
"37","NP_620183","Diseased-Healthy",0.632578111506532,0.166615505046718,3.79663412075102,28,0.000722923777120688,0.0015087104913823,NA,0,0
"38","NP_665722","Diseased-Healthy",0.816912990228967,0.129881942521863,6.28965793371515,28,8.42441929993498e-07,3.36976771997399e-06,NA,0,0
"39","NP_758823","Diseased-Healthy",-0.866878387891227,0.206595326229952,-4.19602129298096,28,0.000247907911389955,0.000594978987335892,NA,0.025974025974026,0
"40","NP_872279","Diseased-Healthy",-0.289118844545336,0.0858779263704864,-3.36662582300889,28,0.00222584785088409,0.00381573917294415,NA,0.0208333333333334,0
"41","NP_872280","Diseased-Healthy",-1.72920811090544,0.548252148936548,-3.15403799923012,28,0.00382405063271074,0.0059211106571005,NA,0,0
"42","S","Diseased-Healthy",0.424530218098048,0.249457252719997,1.70181549531679,28,0.0998700172399789,0.111482809942302,NA,0,0
"43","XP_001053003","Diseased-Healthy",1.18739043321512,0.13536846574832,8.77154384997416,28,1.59878354999421e-09,1.53483220799444e-08,NA,0,0
"44","XP_001057320","Diseased-Healthy",0.241153746639468,0.115687076152782,2.08453489066479,28,0.046351474142603,0.0570479681755114,NA,0,0
"45","XP_001066264","Diseased-Healthy",-0.303936643445658,0.149161703525524,-2.03763188715292,28,0.0511362622771978,0.0613635147326374,NA,0.00980392156862742,0
"46","XP_001067936","Diseased-Healthy",0.400014556349268,0.108818226086504,3.6759885796271,28,0.000994531340033689,0.00176805571561545,NA,0,0
"47","XP_001068814","Diseased-Healthy",-0.323706938896691,0.119786117469353,-2.70237441312438,28,0.0115631657428832,0.0154175543238442,NA,0,0
"48","XP_216782","Diseased-Healthy",-0.350137853704981,0.114559413185241,-3.05638658552497,28,0.00488365535509727,0.00732548303264591,NA,0,0
